Processo SEI,Fomento,Mais informações do fomento,Fonte de Custeio,Valor,Projeto,Objeto/Finalidade,Unidade SECTI Responsável,Instituição Parceira,Ponto Focal na Instituição Parceira,Comissão Gestora da Parceria,Situação atual,Execução do Projeto,Encerramento da parceria,Observações,classificacao
00001-00016725/2022-13,Rodrigo Dellmasso,Emenda Parlamentar Rodrigo Dellmasso,Fonte 100 EPI,300000.0,HACKACITY GUARÁ: MUTIRÃO CIDADE INTELIGENTE,HACKACITY GUARÁ: MUTIRÃO CIDADE INTELIGENTE, DIDCI,CODESE,"CRISTIANE PEREIRA, (61) 99198-0938",Patrícia Moutinho Correia,Em fase de Prestação de Contas,Redação do Parecer Técnico Conclusivo de Análise de Prestação de Contas Final.,2022-12-01 00:00:00,0,Não Classificado
00080-00123677/2023-21,Apoio,"Apoio ao XII Circuito de Ciências das Escolas Públicas do Distrito Federal, exarado pela Coordenação Regional de Ensino de Sobradinho.",não houve,0.0, XII Circuito de Ciências das Escolas Públicas DF,"Fomentar a educação através da ciência, tecnologia e inovação",DIJE,0,0,0,0,0,0,Apenas apoio,Não Classificado
00193-00001151/2019-47,0,Inovatech, FAPDF,25000000.0,INOVATECH,"Qualificar profissionais em novas tecnologias, especialmente aquelas ligadas à indústria 4.0, assim como apoiar a inserção massiva destas tecnologias nos processos produtivos das empresas do DF, a partir da modernização de processos, inovaçäo em produtos e certificação de qualidade, conferindo ao setor produtivo local ganhos expressivos de competitividade e de mercado.", SUPCDT,SENAI e FAP/DF,Marco Seco - Diretor Regional,"Lucas Candeira Albuquerque Teotonio,Gerson Berbet Júnior,Altamiro Pereira Faleiro Júnior",Em execução,Termo Aditivo para utilizar os recursos do dinheiro que rendeu na aplicação para ofertar mais cursos para 2024.,2023-12-01 00:00:00,0,Termo de Fomento
04008-00000126/2022-61,0,Wi-Fi Social ,0,0.0,WI-FI SOCIAL,"O Projeto Wi-Fi Social DF tem por objetivo oferecer à sociedade conexão gratuita à internet, por meio de sinal Wi-Fi, em diversos pontos do Distrito Federal. A principal finalidade do projeto é a inclusão digital e social da população.", DIDCI,0,0,0,"Planeja-se a continuidade do projeto, de forma a alcançar todas as Regiões Administrativas do Distrito Federal até o final da gestão do Governo, contudo está sendo trabalhada em uma nova versão do Edital de Credenciamento","No ano de 2023, o Projeto Wi-Fi Social DF contabilizou mais de 100 milhões de acessos em todos os pontos que já contam com o serviço. Ademais, neste ano o Projeto Wi-Fi Social DF foi instalado em 19 novos pontos distribuídas em 26 Regiões Administrativas, totalizando 114 pontos instalados desde o início do projeto.",0,O Projeto Wi-Fi Social DF não onera o orçamento da SECTI,Não Classificado
04008-00000132/2023-07,Chamada Pública nº 02/2023 do Edital nº 01/2023,Chamada Pública nº 02/2023 do Edital nº 01/2023,Fonte 100 ,0.0,0,"Pesquisa voltada a caracterização mecânica do ""plástico contaminado"" separado no programa Reciclotech, instituído por meio do do Edital de chamamento Público N.° 10/2021, com a finalidade de identificar formas de aplicação deste insumo e o desenvolvimento de novas tecnologias", DIEC,0,0,0,Análise das propostas,0,entrega da proposta,"primeiro edital voltado à pesquisa da SECTI-DF

- Programa de Trabalho 19.571.6207.6026.0012 - EXECUÇÃO DE ATIVIDADES DE FOMENTO AO DESENVOLVIMENTO CIENTÍFICO, TECNOLÓGICO E DE INOVAÇÃO",Termo de Fomento
04008-00000718/2021-00,0,Reciclotech,100,0.0,RECICLOTECH,"Este instrumento tem por objeto promover a manutenção e ampliação das ações do projeto inovador de logística reversa, recondicionamento e reciclagem de equipamentos eletrônicos, com polo de economia circular (PEC) e formação de jovens e adultos em tecnologia da informação.", SUPCDT,FAP-DF e Programando o Futuro,Vilmar Simion Nascimento - Coordenador Geral,"LUCAS CANDEIRA ALBUQUERQUE TEOTÔNIO,

LUCIANA DE CASTRO CABRERO GUIMARAES,

ANA PAULA ALMEIDA ARAGÃO",Em execução,Renovação do projeto no processo SEI n° 04008-00000842/2023-29,2023-11-24 00:00:00,0,Não Classificado
04008-00000755/2020-29,0,Claudio Abrantes,Emenda Parlamentar,159999.0,INOVAPOL,"INOVAPOL

É um programa de promoção da inovação aberta, dedicada à segurança pública, que promove o desenvolvimento tecnológico encadeado entre empresas líderes e proponentes e oferece acesso a fontes de financiamento. Ocorre como um concurso que seleciona iniciativas para recebimento de diversas vantagens.", DIDCI, FPCIAA,"MARIA VIEIRA AMORIM FRANCO, (61) 99574-9246","Gerson Berbet Júnior, 
Bruno Limeira Teixeira Pinheiro,

Patrícia Moutinho Correia,
Davi Ferreira da Costa",Em fase de Prestação de Contas,Redação do Parecer Técnico Conclusivo de Análise de Prestação de Contas Final.,2021-12-01 00:00:00,0,Não Classificado
04008-00000842/2023-29,Edital n° 15/2023," Programa de Trabalho: 19.571.6207.6026.0012 - EXECUÇÃO DE ATIVIDADES DE FOMENTO AO DESENVOLVIMENTO CIENTÍFICO, TECNOLÓGICO E DE INOVAÇÃO",Fonte 100,0.0,NOVA RECICLOTECH,"Chamamento público de Organização da Sociedade Civil para, em parceria com o Distrito Federal, por meio da Secretaria de Estado de Ciência, Tecnologia e Inovação do Distrito Federal (SECTI) e a Fundação de Apoio à Pesquisa (FAPDF) dar continuidade à implantação, execução e aprimoramento do sistema de logística reversa e economia circular de equipamentos eletrônicos do Distrito Federal, com a implantação de um polo de economia circular (PEC) em 5 macrorregiões, além da formação de jovens e adultos em tecnologia da informação no período de 18 (dezoito) meses, prorrogáveis por igual período. ", DIEC,0,0,"GILMAR MARQUES,  KAMILA NASCIMENTO RANGEL, PATRÍCIA DE ARAGÃO CARVALHO",Análise das propostas,Avaliação da documentação,0,  Nova Reciclotech,Não Classificado
04008-00000860/2023-19,TERMO DE COLABORAÇÃO 01/2023,"TERMO DE COLABORAÇÃO 01/2023 - SECTI e Associação de Educação, Esporte, Cultura e Economia Criativa - AECEC. CHAMAMENTO PÚBLICO N° 1/2023",Fonte 100 ,5000000.0,INOVA DF,PROGRAMA DE CAPACITAÇÃO PARA INOVAÇÃO DO DF,SICID/DICID,"Associação de Educação, Esporte, Cultura e Economia Criativa - AECEC",Gustavo Augusto Moura de Sá - Presidente                    (61) 98164-5096,"Thaís Fernandes,  Bruno Frota ,Gilberto Haraguchi,Henrique Filho,Samuel Teles, Daniel Amorim",Fase de lançamento,Programação de lançamento para dia 30 de Janeiro às 10h no Planetário.,2024-12-25 00:00:00,  ,Em Andamento
04008-00000866/2023-88, DESAFIO DF,"  Chamada Pública nº 001/2023, do Edital n.º 01/2023 - DESAFIO DF","Unidade Orçamentária: 40.201
",1999209.0, DESAFIO DF,Projeto “Programa de Desenvolvimento Regional e Transformação Digital das Cadeias Produtivas dos Municípios do entorno do DF,SUPCDT/SICID,"FAPDF E CDESEDF

",0,"Ana Paula Almeida Aragão,

Larissa Jesus de Souza, 

Bruno Mariano Souza Lopes Frota",0,2023-10-27 00:00:00,Até 31/05/2024,"Fonte de Recursos: 100100000
Programa de Trabalho: 19571620760260012
Natureza da Despesa: 339020",Não Classificado
04008-00000878/2023-11,Termo de Fomento 06/2023,Emenda Parlamentar Eduardo Pedrosa,100 EPI,580000.0,PROJETO E-GAMES ,"Realizar o “Brasília E-Games Experience"", festival que reúne games, robótica, inovação, tecnologia e pesquisa
científica na área digital, com a participação de palestrantes locais e nacionais que tenham conhecimento sobre as
temáticas citadas, com destaque para robótica e games.",SICID / DIJE,MOVIMENTO INOVA,ACI BARBOSA (61) 9 8421-8838,"Altamiro Pereira F. Junior, Gilberto Keiji Haraguchi, Ana Clara Tavares da Silva",Em fase de Prestação de Contas,"Evento: 27, 28 e 29/10/2023",2023-12-01 00:00:00,0,Não Classificado
04008-00000897/2023-39,Termo de Fomento 02/2023,Emenda Parlamentar Eduardo Pedrosa,100 EPI  ,490000.0,CAPACITECH,"Realização do projeto “Capacitech”, sendo um projeto voltado para fomentar a tecnologia e a inovação, por meio da disponibilização gratuita de curso e workshops voltados para a produção de jogos eletrônicos e audiovisual para alunos da rede pública.", SUPCDT / DIDCI,ONG. CERRADO LIVRE,ANDRÉ MAURO (61) 9 9672-2265,"Dayane Tavares da Silva Veras, Gustavo Alves Gomes, Ana Clara Tavares da Silva, Éden Agnel da Silva Albuquerque",Em fase de Prestação de Contas,07/08/2023 a 20/12/23 Produção: 14/08/2023 a 09/12/2023,2023-12-09 00:00:00,0,Não Classificado
04008-00000934/2023-17,Termo de Fomento 7/2023,Emenda Parlamentar Eduardo Pedrosa,100 EPI,580000.0,EXPO IMPACTO,"Realização da “Expo Impacto”, evento de imersão que visa integrar a comunidade, o ecossistema de inovação, ciência e sustentabilidade e empreendedores com impacto social, para compartilhar seus conhecimentos sobre ampliação de possibilidades de carreiras em negócios, assim como debater sobre temas relacionados a GovTec e os impactos positivos que isto pode gerar para o setor público.", SUPCDT,ASSOCIAÇÃO AMIGOS DO FUTURO,"FERNANDO BORGES, (61) 98133-9587","Eduardo Almeida Castro,                                                                                 Samara Gomes de Araújo,                                                                                        Thayna Valença Costa",Em fase de Prestação de Contas,"Evento: 09,10,11 e 12/11/23."," Dezembro/23

",0,Não Classificado
04008-00000935/2023-53,Termo de Fomento 11/2023,Emenda Parlamentar Eduardo Pedrosa,Fonte 100 EPI,720000.0,FETUC - 2ª EDIÇÃO,FETUC - FEIRA DE EMPREENDEDORISMO TURÍSTICO E CRIATIVO - 2ª EDIÇÃO,SUPCDT,AECEC,"GUSTAVO AUGUSTO, (61) 98164-5096","Altamiro Pereira Faleiro Júnior,                                                                      Grazielle Dutra Machado,                               Valdir Cardoso dos Santos",Em fase de prestação de contas,"Evento: 24, 25 e 26/11."," Dezembro /23

",0,Não Classificado
04008-00001021/2023-18,Termo de Fomento 10/2023,Emenda parlamentar Joaquim Roriz Neto,Fonte 100 EPI,850000.0,BXB - BRASÍLIA DESIGN WEEK,"A Plataforma BXB - BRASÍLIA DESIGN tem como proposta fomentar a economia criativa, o design, a cultura local e a pesquisa, além de desenvolver o mercado e criar experiências urbanas abrangentes para a promoção e comercialização do design brasiliense. Será lançada por meio da realização do evento Brasília Design Week.",SUPCDT,INSTITUTO DESPONTA BRASIL,"HEISENBERG, (61) 99977-3320 (61) 98581-7196","Kamila Nascimento Rangel ,   Grazielle Dutra Machado ,    Francielly Figueiredo Osório ,     Samuel Campos dos S. R. Teles",Em execução,20/11/23  a  21/04 /24.                                                                                                                                                                                                Laçamento: 28/11                                                                                            Evento: 23/11 a 30/04/2023.,2024-04-30 00:00:00,0,Termo de Fomento
04008-00001117/2021-14,Termo de Fomento 2/2021,Emenda Parlamentar Daniel Donizete,Fonte 100 EPI,800000.0,CIDADE INTELIGENTE GAMA,"Criação de uma central direcionada a gestão de participação do cidadão nas redes sociais e a SWAPP - Social Web Application, integrado com dispositivos móveis, redes sociais e portal do governo, que viabiliza ampla participação do cidadão no processo de desenvolvimento de políticas públicas.", DIDCI, IDISC,"MATEUS, (61) 98490-6006","Gerson Berbet Júnior,
Michele Campos dos S L Anconi, 
Patrícia Moutinho Correia, 
Bruno Limeira Teixeira Pinheiro",Rescisão unilateral do Termo de Fomento,CONTRATO ENCERRADO.FOI NOTIFICADO PELA COMISSÃO DE FISCALIZAÇÃO A PRESTAR CONTAS.,2023-12-01 00:00:00,0,Não Classificado
04008-00001257/2023-46,Edital de Credenciamento Nº XX/2023,Edital de Credenciamento Nº XX/2023, -,0.0,PROGRAMA CONECTA DF,Novo Edital de Credenciamento ao Projeto Conecta DF (Renovação do Wi-Fi Social),DICID,0,0,0,Edital em fase de revisão,0,0," (antigo Wi-Fi Social DF) não onera o orçamento da SECTI, tendo em vista que o projeto fora regido através da versão anterior do Edital de Credenciamento 01/2022",Não Classificado
04008-00001258/2023-91,Apoio (divulgação pela SECTI),Apoio ao Evento GeekVerse Festival,não houve,0.0,GEEKVERSE FESTIVAL,"Divulgar a Secretaria de Estado de Ciência, Tecnologia e Inovação juntamente com o Governo do Distrito Federal, atravez das ações da Subsecretaria de Inovação, Capacitação e Inclusão Digital. ",DIJE,0,0,0,0,0,0,0,Não Classificado
04008-00001348/2023-81,Termo de Fomento 15/2023,Emenda Parlamentar Thiago Manzoni,100 EPI,400000.0, INCLUSÃO E-SPORTS,"“Inclusão E-Sports – 2ª Edição”, sendo um projeto voltado para fomentar a tecnologia e a inovação através dos “E-Sports”, proporcionando um espaço amplo e democrático para que crianças e adolescentes em situação de vulnerabilidade possam vivenciar a experiência esportiva dos jogos eletrônicos",DIJE,INSTITUTO BRASIL RESPEITO HUMANO,WILKER (61) 99194-9533,"Éden Agnel da Silva Albuquerque,                                                                      Kíssila Nacif Nicolai ,                                                      Ana Clara Tavares da Silva",Em execução,Dezembro/2023 a Abril/2024                                                                                                                                                                                             Evento: 27 e 28/janeiro 2024                                                             24 e 25/fevereiro 2024                                                           30 e 31/março 2024,Abril de 2024,0,Não Classificado
04008-00001350/2023-51,Termo de Fomento 14/2023,Emenda Parlamentar Thiago Manzoni,100 EPI,550000.0,OBSERVATÓRIO DE DEFESA DO PAGADOR DE IMPOSTOS, Criação de um Observatório (Portal interativo) dos Pagadores de Impostos.  A ideia central do Projeto é conscientizar a sociedade sobre a importância de pagar os impostos e acompanhar os gastos públicos.,DICID,INSTITUTO ASCENDE DE POLÍTICAS PÚBLICAS,PROF. RICARDO CALDAS (61) 98141-0000,"Eduardo Almeida Castro , Ian Fontenele Figueiredo, Mirella Camelo Vieira",Em execução, 1ª etapa: 02/10/2023 a 03/01/2024,Outubro/23 a Agosto/2024,0,Em Andamento
04008-00001351/2023-03,Termo de Fomento 08/2023,Emenda Parlamentar Pepa,100 EPI,200000.0,CONECTA,Feira de Conexão e Tecnologia no Campus do IFB em Planaltina - DF,DICID,PROJETO AS - SERVIR E AMAR,BRUNO KESSELER (61) 98601-5960,"Gilberto Keiji Haraguchi,                                                                    Ionio Rodrigues Serralha Neto,                                                                   Jeruza Pereira X. de Oliveira",Em fase de Prestação de Contas, Evento: 20 a 23/11/2023, 31/12/2023,0,Não Classificado
04008-00001406/2023-77,Termo de Fomento 12/2023,Emenda Parlamentar Thiago Manzoni,100 EPI,250000.0,SALVE UM NEGÓCIO,"Apoiar a realização do projeto Salve um Negócio oferecendo acesso a inovação por meio da metodologia de gestão empresarial “fast consult” e desenvolvimento tecnológico por meio de “Consultoria Especializada” para 50 microempreendedores individuais e pequenas empresas (MEIs e MPEs) do Distrito Federal, visando o desenvolvimento e fortalecimento das mesmas.",DICID,FEDERAÇÃO DAS EMPRESAS JUNIORES DO DF,CAIO - COCENTRO (31) 98448-3762,"Jessica Natasha Ribeiro Haq,Kamila Nascimento Rangel",Em execução, Lançamento: 19/12/2023,01/12/23 a 31/03/2024,0,Em Andamento
04008-00001407/2023-11,Termo de Fomento 18/2023,Emenda Parlamentar Thiago Manzoni,100 EPI,600000.0,AVANT CERRADO,"Estimular o ecossistema empreendedor por meio de capacitações para o desenvolvimento de produtos, serviços e processos inovadores, por meio da concessão de fomento (subvenção econômica e bolsa de caráter não reembolsável), apoiando empreendedores de baixa renda e startups em fase de ideação, a partir da transformação de ideias em oportunidades de negócios no Distrito Federal e RIDE",DICID,ASSOCIAÇÃO BRASIL STARTUPS,HUGO GIALLANZA (61) 98275-2274,"Cássia Eduarda Alves Barcelos , Ian Fontenele Figueiredo, Suely Ap. Nunes da Silva Barbosa, Renato Rocha Cardoso da Silva",Em execução,29/12/2023 a 29/08/2024,2024-08-29 00:00:00,0,Em Andamento
04008-00001409/2023-19,Termo de Fomento 17/2023,Emendas Parlamentares Doutora Jane  e Joaquim Roriz Neto,100 EPI,750000.0,BSB PLAY,"O projeto visa a realização de um programa de tv exibido na TV Cultura no intuito de difundir as ações de inovação e tecnologia do Distrito Federal e região, contribuindo com profissionais, estudantes, governo e entusiastas do segmento. Serão realizados 13 episódios de 30” minutos aos sábados.",SICID / DIJE,INSTITUTO CONECTA BRASIL,EDUARDO MOREIRA (61) 9 9143-0853,"Samara Gomes Araújo ,     Gilberto Keiji Haraguchi,                              Renato rocha Cardoso da Silva",Em execução,Pré-produção: 21/12/23 a 01/03/2024                                                                              Produção 02/03/2024 a 25/05/2024                                                                                                Pós-produção: 26/05/2024 a 30/06/2024,13/12/23 a 31/06/2024,0,Em Andamento
04008-00001526/2023-74,Termo de Colaboração 02/2023,TERMO DE COLABORAÇÃO 02/2023 - SECTI e Instituto Líderes do Brasil. CHAMAMENTO PÚBLICO N° 03/2023,0,3000000.0,GAMIFICA DF,"“GAMIFICA DF”, voltado a fomentar a capacitação de jovens, adolescentes e adultosnas áreas de base tecnológica do nicho de games, contando com curso de Marketing aplicado à Jogos Eletrônicos, Design de Jogos Eletrônicos e Desenvolvimento de Jogos Eletrônicos, a ser realizado em 5  (cinco) regiões administrativas, quais sejam: Plano Piloto, Recanto das Emas, Varjão, Águas Claras e Sol Nascente.",SICID / DIJE,INSTITUTO LÍDERES DO BRASIL,JOFFRE MOREIRA (61) 9 9595-9459,"Leandro Batista Reis,            Samara Gomes de Araújo ,          Talinne Rangelli Campos Silva ,                                                                                                       Nelson rodrigues da Cruz,                                                                                          Larissa Laine Hipólito Alves",Análise de Documentação,Janeiro/2024 a Dezembro/2024,Dezembro de 2024,0,Termo de Fomento
04008-00000875/2023-79,Termo de Fomento 03/2023,Emendas Parlamentares Eduardo Pedrosa e Joaquim Roriz Neto,Fonte 100 EPI,990000.0,PROJETO ECO INOVA BRASÍLIA,"Realização do “Eco Inova Brasília”, evento de imersão voltado para as start-ups e os ecossistemas de inovação e sustentabilidade, com foco também para as novas formas de produção de energia, com entrada gratuita e realização no Eixo Cultural Ibero-americano.",SUPCDT,ASSOCIAÇÃO CRESCE DF,EDUARDO CAMPOS ,"Kamila Nascimento  Rangel,                                                                   Samuel Campos dos S. R. Teles ,                                                                                     Victor Lucas Batista Tavares",Fase de prestação de contas,18/19 e 20/08/2023,Outubro de 2023,0,Não Classificado
04008-000001109/2023-21,Termo de Fomento 04/2023,Emenda Parlamentare Eduardo Pedrosa ,Fonte 100 EPI,490000.0,IGXP," Com objetivo de fomentar a tecnologia e a inovação, promovendo o mercado de jogos eletrônicos por meio de um festival de games, com participação direta do público com concursos e competição, trazendo a era digital para o Distrito Federal",SUPCDT,INSTITUTO LÍDERES DO BRASIL,JOFFRE MOREIRA (61)9 9595-9459,"Leandro Batista Reis  ,                                                                 Samara Gomes de Araújo,                            Thayna Valença Costa",Fase de Prestação de Contas,26/09/2023 a 31/10/2023,Outubro de 2023,0,Não Classificado
04008-00001421/2023-15,Termo de Fomento 16/2023,Emendas Parlamentares Thiago Manzoni e Paula Belmonte,Fonte 100 EPI,800000.0,START UP BRASÍLIA 2030,"Aquecer o ecossistema de tecnologia e inovação do DF e RIDE, por meio da implantação de ações de estímulo à inovação aberta, promovendo novas, melhores e mais frequentes conexões entre atores-chave
do ecossistema, sensibilizando-os quanto aos desafios e oportunidades de inovação nos segmentos da saúde, finanças, educação, mulheres e populações vulneráveis, e governo (drivers de inovação).
",SUPCDT,BRASIL STARTUP,HUGO GIALLANZA                                                                            (61) 98275-2274,"Gabriella de Oliveira Tavares, Mirella Camelo Vieira, Altamiro Pereira Faleiro Júnior",Em execução,23/12/2023 a 23/10/2024,Outubro de 2024,0,Em Andamento
04008-00001619/2023-07,Termo de Fomento 19/2023,Emendas Parlamentares Jaqueline Silva e Daniel Donizet                                                                               PORTARIA CONJUNTA 22 e                                                           PORTARIA CONJUNTA 23,Fonte 100 EPI,650000.0,INNOVA HUB,"Espaço de inovação para startups e empreendedores do segmento de tecnologia que
terão acesso gratuito para se capacitar e interagir com o ecossistema de inovação, por meio de palestras,
apresentações, consultorias, e muito networking.",SICID,INSTITUTO CONECTA BRASIL,EDUARDO MOREIRA (61) 9 9143-08,"Nelson Rodrigues da Cruz,                                                                     Bruna Petrnylla Gomes de Sousa,                                              Cássia Fonseca Campos Antunes,                                                             Eduardo Almeida Castro",Em execução,03/01/2024 a 05/08/2024,Agosto de 2024,Processos vinculados:                                                                              00001-00055043/2023-07                                                                     00001-00055088/2023-73                                                                                           ,Em Andamento
